47,belongs_to,46
54,name,Amanita falvoconia
54,type,6
54,belongs_to,47
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
55,name,Amanita flavorubens
55,type,6
55,belongs_to,47
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
56,name,Amanita fulva
56,type,6
56,belongs_to,47
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
57,name,Amanita solaneolens
57,type,6
57,belongs_to,47
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
58,name,Amanita tuberosa
58,type,6
58,belongs_to,47
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
47,name,Amanitaceae
47,type,5
47,belongs_to,46
59,name,Amanita virginiana
59,type,6
59,belongs_to,47
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
60,name,Vitales
60,type,4
60,belongs_to,26
61,name,Vitaceae
61,type,5
61,belongs_to,60
62,name,Ampelopsis brevipedunculata
62,type,6
62,belongs_to,61
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
11,name,Noctuidae
11,type,5
11,belongs_to,10
63,name,Amphipyra glabella
63,type,6
63,belongs_to,11
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
11,name,Noctuidae
11,type,5
11,belongs_to,10
64,name,Amphipyra pyramidoides
64,type,6
64,belongs_to,11
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
65,name,Anseriformes
65,type,4
65,belongs_to,20
66,name,Anatidae
66,type,5
66,belongs_to,65
67,name,Anas platyrhynchos
67,type,6
67,belongs_to,66
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
68,name,Anthemis cotula
68,type,6
68,belongs_to,32
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
69,name,Fabales
69,type,4
69,belongs_to,26
70,name,Fabaceae
70,type,5
70,belongs_to,69
71,name,Apios americana
71,type,6
71,belongs_to,70
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
72,name,Hymenoptera
72,type,4
72,belongs_to,9
73,name,Apidae
73,type,5
73,belongs_to,72
74,name,Apis mellifera
74,type,6
74,belongs_to,73
7,name,Animalia
7,type,1
75,name,Echinodermata
75,type,2
75,belongs_to,7
76,name,Echinoidea
76,type,3
76,belongs_to,75
77,name,Arbacioida
77,type,4
77,belongs_to,76
78,name,Arbaciidae
78,type,5
78,belongs_to,77
79,name,Arbacia punctulata
79,type,6
79,belongs_to,78
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
80,name,Ericales
80,type,4
80,belongs_to,26
81,name,Ericaceae
81,type,5
81,belongs_to,80
82,name,Arctostaphylos uva-ursi
82,type,6
82,belongs_to,81
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
83,name,Malacostraca
83,type,3
83,belongs_to,8
84,name,Isopoda
84,type,4
84,belongs_to,83
85,name,Armadillidiidae
85,type,5
85,belongs_to,84
86,name,Armadillidium vulgare
86,type,6
86,belongs_to,85
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
87,name,Physalacriaceae
87,type,5
87,belongs_to,46
88,name,Armillaria gallica
88,type,6
88,belongs_to,87
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
87,name,Physalacriaceae
87,type,5
87,belongs_to,46
89,name,Armillaria mellea
89,type,6
89,belongs_to,87
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
46,name,Agaricales
46,type,4
46,belongs_to,45
87,name,Physalacriaceae
87,type,5
87,belongs_to,46
90,name,Armillaria tabescens
90,type,6
90,belongs_to,87
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
91,name,Gentianales
91,type,4
91,belongs_to,26
92,name,Asclepiadaceae
92,type,5
92,belongs_to,91
93,name,Asclepias syriaca
93,type,6
93,belongs_to,92
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
91,name,Gentianales
91,type,4
91,belongs_to,26
92,name,Asclepiadaceae
92,type,5
92,belongs_to,91
94,name,Asclepias tuberosa
94,type,6
94,belongs_to,92
7,name,Animalia
7,type,1
75,name,Echinodermata
75,type,2
75,belongs_to,7
95,name,Asteroidea
95,type,3
95,belongs_to,75
96,name,Forcipulatida
96,type,4
96,belongs_to,95
97,name,Asteriidae
97,type,5
97,belongs_to,96
98,name,Asterias forbesi
98,type,6
98,belongs_to,97
7,name,Animalia
7,type,1
99,name,Cnidaria
99,type,2
99,belongs_to,7
100,name,Anthozoa
100,type,3
100,belongs_to,99
101,name,Scleractinia
101,type,4
101,belongs_to,100
102,name,Rhizangiidae
102,type,5
102,belongs_to,101
103,name,Astrangia poculata
103,type,6
103,belongs_to,102
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
104,name,Caryophyllales
104,type,4
104,belongs_to,26
105,name,Chenopodiaceae
105,type,5
105,belongs_to,104
106,name,Atriplex patula
106,type,6
106,belongs_to,105
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
107,name,Yponomeutidae
107,type,5
107,belongs_to,10
108,name,Atteva aurea
108,type,6
108,belongs_to,107
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
109,name,Baccharis halimifolia
109,type,6
109,belongs_to,32
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
110,name,Baccharis pilularis
110,type,6
110,belongs_to,32
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
111,name,Passeriformes
111,type,4
111,belongs_to,20
112,name,Paridae
112,type,5
112,belongs_to,111
113,name,Baeolophus bicolor
113,type,6
113,belongs_to,112
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
114,name,Maxillopoda
114,type,3
114,belongs_to,8
115,name,Sessilia
115,type,4
115,belongs_to,114
116,name,Balanidae
116,type,5
116,belongs_to,115
117,name,Balanus balanus
117,type,6
117,belongs_to,116
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
69,name,Fabales
69,type,4
69,belongs_to,26
70,name,Fabaceae
70,type,5
70,belongs_to,69
118,name,Baptisia tinctoria
118,type,6
118,belongs_to,70
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
91,name,Gentianales
91,type,4
91,belongs_to,26
119,name,Gentianaceae
119,type,5
119,belongs_to,91
120,name,Bartonia virginica
120,type,6
120,belongs_to,119
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
41,name,Fagales
41,type,4
41,belongs_to,26
42,name,Betulaceae
42,type,5
42,belongs_to,41
121,name,Betula pendula
121,type,6
121,belongs_to,42
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
122,name,Bidens frondosa
122,type,6
122,belongs_to,32
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
123,name,Boletales
123,type,4
123,belongs_to,45
124,name,Boletaceae
124,type,5
124,belongs_to,123
125,name,Boletus bicolor
125,type,6
125,belongs_to,124
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
126,name,Nymphalidae
126,type,5
126,belongs_to,10
127,name,Boloria selene
127,type,6
127,belongs_to,126
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
72,name,Hymenoptera
72,type,4
72,belongs_to,9
73,name,Apidae
73,type,5
73,belongs_to,72
128,name,Bombus abnormis
128,type,6
128,belongs_to,73
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
72,name,Hymenoptera
72,type,4
72,belongs_to,9
73,name,Apidae
73,type,5
73,belongs_to,72
129,name,Bombus impatiens
129,type,6
129,belongs_to,73
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
130,name,Ascidiacea
130,type,3
130,belongs_to,19
131,name,Pleurogona
131,type,4
131,belongs_to,130
132,name,Botryllidae
132,type,5
132,belongs_to,131
133,name,Botryllus schlosseri
133,type,6
133,belongs_to,132
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
65,name,Anseriformes
65,type,4
65,belongs_to,20
66,name,Anatidae
66,type,5
66,belongs_to,65
134,name,Branta canadensis
134,type,6
134,belongs_to,66
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
135,name,Amphibia
135,type,3
135,belongs_to,19
136,name,Anura
136,type,4
136,belongs_to,135
137,name,Bufonidae
137,type,5
137,belongs_to,136
138,name,Bufo americanus
138,type,6
138,belongs_to,137
7,name,Animalia
7,type,1
139,name,Mollusca
139,type,2
139,belongs_to,7
140,name,Gastropoda
140,type,3
140,belongs_to,139
141,name,Neogastropoda
141,type,4
141,belongs_to,140
142,name,Buccinidae
142,type,5
142,belongs_to,141
143,name,Busycon carica
143,type,6
143,belongs_to,142
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
21,name,Accipitriformes
21,type,4
21,belongs_to,20
22,name,Accipitridae
22,type,5
22,belongs_to,21
144,name,Buteo jamaicensis
144,type,6
144,belongs_to,22
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
145,name,Pelecaniformes
145,type,4
145,belongs_to,20
146,name,Ardeidae
146,type,5
146,belongs_to,145
147,name,Butorides virescens
147,type,6
147,belongs_to,146
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
83,name,Malacostraca
83,type,3
83,belongs_to,8
148,name,Decapoda
148,type,4
148,belongs_to,83
149,name,Portunidae
149,type,5
149,belongs_to,148
150,name,Callinectes sapidus
150,type,6
150,belongs_to,149
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
10,name,Lepidoptera
10,type,4
10,belongs_to,9
151,name,Geometridae
151,type,5
151,belongs_to,10
152,name,Campaea perlata
152,type,6
152,belongs_to,151
13,name,Fungi
13,type,1
44,name,Basidiomycota
44,type,2
44,belongs_to,13
45,name,Agaricomycetes
45,type,3
45,belongs_to,44
153,name,Cantharellales
153,type,4
153,belongs_to,45
154,name,Cantharellaceae
154,type,5
154,belongs_to,153
155,name,Cantharellus cinnabarinus
155,type,6
155,belongs_to,154
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
111,name,Passeriformes
111,type,4
111,belongs_to,20
156,name,Cardinalidae
156,type,5
156,belongs_to,111
157,name,Cardinalis cardinalis
157,type,6
157,belongs_to,156
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
111,name,Passeriformes
111,type,4
111,belongs_to,20
158,name,Fringillidae
158,type,5
158,belongs_to,111
159,name,Carduelis tristis
159,type,6
159,belongs_to,158
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
160,name,Liliopsida
160,type,3
160,belongs_to,25
161,name,Poales
161,type,4
161,belongs_to,160
162,name,Cyperaceae
162,type,5
162,belongs_to,161
163,name,Carex pensylvanica
163,type,6
163,belongs_to,162
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
111,name,Passeriformes
111,type,4
111,belongs_to,20
158,name,Fringillidae
158,type,5
158,belongs_to,111
164,name,Carpodacus mexicanus
164,type,6
164,belongs_to,158
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
20,name,Aves
20,type,3
20,belongs_to,19
21,name,Accipitriformes
21,type,4
21,belongs_to,20
165,name,Cathartidae
165,type,5
165,belongs_to,21
166,name,Cathartes aura
166,type,6
166,belongs_to,165
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
167,name,Celastrales
167,type,4
167,belongs_to,26
168,name,Celastraceae
168,type,5
168,belongs_to,167
169,name,Celastrus orbiculatus
169,type,6
169,belongs_to,168
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
170,name,Centaurea stoebe
170,type,6
170,belongs_to,32
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
104,name,Caryophyllales
104,type,4
104,belongs_to,26
171,name,Caryophyllaceae
171,type,5
171,belongs_to,104
172,name,Cerastium glomeratum
172,type,6
172,belongs_to,171
24,name,Plantae
24,type,1
173,name,Pinophyta
173,type,2
173,belongs_to,24
174,name,Pinopsida
174,type,3
174,belongs_to,173
175,name,Pinales
175,type,4
175,belongs_to,174
176,name,Cupressaceae
176,type,5
176,belongs_to,175
177,name,Chamaecyparis thyoides
177,type,6
177,belongs_to,176
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
80,name,Ericales
80,type,4
80,belongs_to,26
81,name,Ericaceae
81,type,5
81,belongs_to,80
178,name,Chamaedaphne calyculata
178,type,6
178,belongs_to,81
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
179,name,Malpighiales
179,type,4
179,belongs_to,26
180,name,Euphorbiaceae
180,type,5
180,belongs_to,179
181,name,Chamaesyce maculata
181,type,6
181,belongs_to,180
24,name,Plantae
24,type,1
182,name,Rhodophyta
182,type,2
182,belongs_to,24
183,name,Florideophyceae
183,type,3
183,belongs_to,182
184,name,Rhodymeniales
184,type,4
184,belongs_to,183
185,name,Champiaceae
185,type,5
185,belongs_to,184
186,name,Champia parvula
186,type,6
186,belongs_to,185
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
80,name,Ericales
80,type,4
80,belongs_to,26
187,name,Pyrolaceae
187,type,5
187,belongs_to,80
188,name,Chimaphila maculata
188,type,6
188,belongs_to,187
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
80,name,Ericales
80,type,4
80,belongs_to,26
187,name,Pyrolaceae
187,type,5
187,belongs_to,80
189,name,Chimaphila umbellata
189,type,6
189,belongs_to,187
24,name,Plantae
24,type,1
182,name,Rhodophyta
182,type,2
182,belongs_to,24
183,name,Florideophyceae
183,type,3
183,belongs_to,182
190,name,Gigartinales
190,type,4
190,belongs_to,183
191,name,Gigartinaceae
191,type,5
191,belongs_to,190
192,name,Chondrus crispus
192,type,6
192,belongs_to,191
24,name,Plantae
24,type,1
25,name,Magnoliophyta
25,type,2
25,belongs_to,24
26,name,Magnoliopsida
26,type,3
26,belongs_to,25
31,name,Asterales
31,type,4
31,belongs_to,26
32,name,Asteraceae
32,type,5
32,belongs_to,31
193,name,Cichorium intybus
193,type,6
193,belongs_to,32
7,name,Animalia
7,type,1
8,name,Arthropoda
8,type,2
8,belongs_to,7
9,name,Insecta
9,type,3
9,belongs_to,8
194,name,Coleoptera
194,type,4
194,belongs_to,9
195,name,Carabidae
195,type,5
195,belongs_to,194
196,name,Cicindela sexguttata
196,type,6
196,belongs_to,195
7,name,Animalia
7,type,1
19,name,Chordata
19,type,2
19,belongs_to,7
