Kingdom,Phylum,Class,Order,Family,Species,Common Name,State
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Eupatorium perfoliatum,Common Boneset,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Eurybia spectabilis,Eastern Showy Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Euthamia caroliniana,Slender Goldentop,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Euthamia graminifolia,Flat-Top Goldentop,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris radicata,Hairy Cat's Ear,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Iva frutescens,Jesuit's Bark,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Krigia biflora,Twoflower Dwarfdandelion,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca biennis,Tall Blue Lettuce,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Leontodon autumnalis,Fall Dandelion,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pluchea odorata,Sweetscent,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Prenanthes trifoliolata,Gall Of The Earth,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Pseudognaphalium obtusifolium,Rabbit-Tobacco,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Rudbeckia hirta,Blackeyed Susan,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Sericocarpus asteroides,Toothed Whitetop Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago canadensis,Canada Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago nemoralis,Gray Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago odora,Anisescented Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago puberula,Downy Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago rugosa,Wrinkleleaf Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago sempervirens,Seaside Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Solidago uliginosa,Bog Goldenrod,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum dumosum,Rice Button Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum ericoides,White Heath Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum laeve,Smooth Blue Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum novi-belgii,New York Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum pilosum,Hairy White Oldfield Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum tenuifolium,Perennial Saltmarsh Aster,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,Sticky Chickweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Spergularia salina,Salt Sandspurry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Atriplex patula,Spear Saltbush,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Salicornia depressa,Virginia Glasswort,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera rotundifolia,Roundleaf Sundew,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca americana,American Pokeweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium carolinianum,Lavender Thrift,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum cuspidatum,Japanese Knotweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum hydropiperoides,Swamp Smartweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum persicaria,Spotted Ladysthumb,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum scandens,Climbing False Buckwheat,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae,Celastrus orbiculatus,Oriental Bittersweet,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Cornales,Cornaceae,Cornus florida,Flowering Dogwood,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Cornales,Cornaceae,Nyssa sylvatica,Blackgum,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera japonica,Japanese Honeysuckle,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera morrowii,Morrow's Honeysuckle,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Sambucus nigra,American Black Elderberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Viburnum dentatum,Southern Arrowwood,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Viburnum nudum,Possumhaw,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens capensis,Jewelweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Clethraceae,Clethra alnifolia,Coastal Sweetpepperbush,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos uva-ursi,Kinnikinnick, Bearberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Chamaedaphne calyculata,Leatherleaf,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Epigaea repens,Trailing Arbutus,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria procumbens,Eastern Teaberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Gaylussacia baccata,Black Huckleberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Kalmia angustifolia,Sheep Laurel,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Kalmia latifolia,Mountain Laurel,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron viscosum,Swamp Azalea,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium angustifolium,Lowbush Blueberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium corymbosum,Highbush Blueberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium macrocarpon,Cranberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium pallidum,Blue Ridge Blueberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Monotropaceae,Monotropa uniflora,Indianpipe,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Trientalis borealis,Starflower,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Pyrolaceae,Chimaphila maculata,Striped Prince's Pine,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Ericales,Pyrolaceae,Chimaphila umbellata,Pipsissewa,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Apios americana,Groundnut,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Baptisia tinctoria,Horseflyweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium paniculatum,Panicledleaf Ticktrefoil,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia triacanthos,Honeylocust,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus japonicus,Beach Pea,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus latifolius,Perennial Pea,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus sylvestris,Flat Pea,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Lespedeza angustifolia,Narrowleaf Lespedeza,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Lespedeza capitata,Roundhead Lespedeza,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Securigera varia,Crownvetch,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium repens,White Clover,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala cruciata,Drumheads,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala nuttallii,Nuttall's Milkwort,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Betulaceae,Alnus glutinosa,European Alder,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Betulaceae,Betula pendula,European White Birch,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Betulaceae,Corylus cornuta,Beaked Hazelnut,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Fagus grandifolia,American Beech,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus alba,White Oak,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus coccinea,Scarlet Oak,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus ilicifolia,Bear Oak,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus prinoides,Dwarf Chinkapin Oak,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus rubra,Northern Red Oak,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus velutina,Black Oak,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Myricaceae,Comptonia peregrina,Sweet Fern,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Myricaceae,Morella cerifera,Wax Myrtle,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Fagales,Myricaceae,Morella pensylvanica,Northern Bayberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias syriaca,Common Milkweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Asclepias tuberosa,Butterfly Milkweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Asclepiadaceae,Cynanchum louiseae,Louise's Swallow-Wort,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Gentianaceae,Bartonia virginica,Yellow Screwstem,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium aparine,Stickywilly,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Prunella vulgaris,Common Selfheal,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Pycnanthemum muticum,Clustered Mountainmint,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Pycnanthemum tenuifolium,Narrowleaf Mountainmint,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum lucidum,Glossy Privet,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum obtusifolium,Border Privet,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum vulgare,European Privet,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Orobanchaceae,Epifagus virginiana,Beechdrops,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago lanceolata,Narrowleaf Plantain,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago major,Common Plantain,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago maritima,Goose Tongue,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Agalinis acuta,Sandplain False Foxglove,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Linaria vulgaris,Butter And Eggs,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum thapsus,Common Mullein,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,Sassafras albidum,Sassafras,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Clusiaceae,Hypericum mutilum,Dwarf St. Johnswort,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Clusiaceae,Hypericum perforatum,Common St. Johnswort,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Clusiaceae,Triadenum virginicum,Virginia Marsh St. Johnswort,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Chamaesyce maculata,Spotted Sandmat,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Linaceae,Linum intercursum,Sandplain Flax,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus tremuloides,Quaking Aspen,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix cinerea,Large Gray Willow,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix humilis,Prairie Willow,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum canadense,Longbranch Frostweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Lechea tenuifolia,Narrowleaf Pinweed,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus rosa-sinensis,Shoeblackplant,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Lythraceae,Decodon verticillatus,Swamp Loosestrife,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum salicaria,Purple Loosestrife,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nymphaea odorata,American White Waterlily,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus umbellata,Autumn Olive,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rhamnaceae,Frangula alnus,Glossy Buckthorn,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria virginiana,Virginia Strawberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Photinia pyrifolia,Red Chokeberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla canadensis,Dwarf Cinquefoil,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Prunus caroliniana,Carolina Laurelcherry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Prunus maritima,Beach Plum,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Prunus serotina,Black Cherry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rosa multiflora,Multiflora Rose,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rosa nitida,Shining Rose,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rosa rugosa,Rugosa Rose,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus allegheniensis,Allegheny Blackberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus bifrons,Himalayan Berry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus flagellaris,Northern Dewberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus pensilvanicus,Pennsylvania Blackberry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus pumila,Siberian Elm,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus copallinum,Winged Sumac,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus typhina,Staghorn Sumac,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron radicans,Eastern Poison Ivy,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer pseudoplatanus,Sycamore Maple,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer rubrum,Red Maple,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum dulcamara,Climbing Nightshade,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Vitales,Vitaceae,Ampelopsis brevipedunculata,Porcelain Berry,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus quinquefolia,Virginia Creeper,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Vitales,Vitaceae,Parthenocissus vitacea,Woodbine,Massachusetts
Plantae,Magnoliophyta,Magnoliopsida,Vitales,Vitaceae,Vitis aestivalis,Summer Grape,Massachusetts
Plantae,Pinophyta,Pinopsida,Pinales,Cupressaceae,Chamaecyparis thyoides,Atlantic White Cedar,Massachusetts
Plantae,Pinophyta,Pinopsida,Pinales,Cupressaceae,Juniperus virginiana,Eastern Redcedar,Massachusetts
Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus rigida,Pitch Pine,Massachusetts
Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus strobus,Eastern White Pine,Massachusetts
Plantae,Pinophyta,Pinopsida,Pinales,Taxaceae,Taxus baccata,English Yew,Massachusetts
Plantae,Pteridophyta,Polypodiopsida,Osmundales,Osmundaceae,Osmunda cinnamomea,Cinnamon Fern,Massachusetts
Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Blechnaceae,Woodwardia areolata,Netted Chainfern,Massachusetts
Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Blechnaceae,Woodwardia virginica,Virginia Chainfern,Massachusetts
Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Pteridium aquilinum,Western Brackenfern,Massachusetts
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus crispus,Irish Moss,Massachusetts
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Petrocelidaceae,Mastocarpus stellatus,Clúimhín Cait,Massachusetts
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Coccotylus truncatus,,Massachusetts
Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Champia parvula,,Massachusetts
Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Dasyaceae,Dasya baillouviana,,Massachusetts
Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Rhodomelaceae,Rhodomela confervoides,,Massachusetts
